month,arrivals,departures
2010-01,10739,10763
2010-02,9811,9806
2010-03,10804,10800
2010-04,10647,10656
2010-05,11079,11072
2010-06,10913,10920
2010-07,11288,11305
2010-08,11185,11183
2010-09,10961,10962
2010-10,11242,11246
2010-11,11188,11184
2010-12,11912,11927
2011-01,12000,12000
2011-02,11007,11006
2011-03,12188,12215
2011-04,12133,12133
2011-05,12499,12495
2011-06,12526,12533
2011-07,12949,12959
2011-08,12855,12853
2011-09,12749,12764
2011-10,13134,13136
2011-11,12961,12962
2011-12,13826,13828
2012-01,13790,13794
2012-02,12451,12452
2012-03,13482,13499
2012-04,13213,13197
2012-05,13494,13496
2012-06,13325,13337
2012-07,13543,13550
2012-08,13688,13693
2012-09,13257,13269
2012-10,13837,13804
2012-11,13786,13807
2012-12,14483,14475
2013-01,14095,14108
2013-02,12967,12972
2013-03,14203,14220
2013-04,13781,13763
2013-05,14218,14233
2013-06,14136,14147
2013-07,14483,14472
2013-08,14800,14813
2013-09,14219,14222
2013-10,14741,14744
2013-11,14747,14758
2013-12,15460,15463
2014-01,15175,15178
2014-02,13375,13389
2014-03,14580,14561
2014-04,14177,14181
2014-05,14465,14468
2014-06,14066,14064
2014-07,14093,14112
2014-08,14179,14177
2014-09,13506,13518
2014-10,14191,14189
2014-11,14011,14020
2014-12,14862,14849
2015-01,14384,14395
2015-02,13249,13242
2015-03,14390,14403
2015-04,14126,14130
2015-05,14519,14523
2015-06,14265,14266
2015-07,14699,14713
2015-08,14814,14792
2015-09,14232,14232
2015-10,14803,14807
2015-11,14365,14364
2015-12,15306,15315